(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\train_BSSRec.py
🚀 Training on device: cuda
GPU Name: NVIDIA GeForce RTX 5060 Laptop GPU
Loading dataset into memory...
Total training batches per epoch: 538
✅ Epoch 30 Complete | Avg Loss: 0.0154 | Time: 15.14 sec
Epoch [31/100] | Batch [100/538] | Loss: 0.0173
Epoch [31/100] | Batch [200/538] | Loss: 0.0187
Epoch [31/100] | Batch [300/538] | Loss: 0.0138
Epoch [31/100] | Batch [400/538] | Loss: 0.0131
Epoch [31/100] | Batch [500/538] | Loss: 0.0161
✅ Epoch 31 Complete | Avg Loss: 0.0150 | Time: 14.69 sec
Epoch [32/100] | Batch [100/538] | Loss: 0.0151
Epoch [32/100] | Batch [200/538] | Loss: 0.0174
Epoch [32/100] | Batch [300/538] | Loss: 0.0135
Epoch [32/100] | Batch [400/538] | Loss: 0.0131
Epoch [32/100] | Batch [500/538] | Loss: 0.0120
✅ Epoch 32 Complete | Avg Loss: 0.0147 | Time: 14.52 sec
Epoch [33/100] | Batch [100/538] | Loss: 0.0123
Epoch [33/100] | Batch [200/538] | Loss: 0.0163
Epoch [33/100] | Batch [300/538] | Loss: 0.0147
Epoch [33/100] | Batch [400/538] | Loss: 0.0148
Epoch [33/100] | Batch [500/538] | Loss: 0.0142
✅ Epoch 33 Complete | Avg Loss: 0.0144 | Time: 14.73 sec
Epoch [34/100] | Batch [100/538] | Loss: 0.0142
Epoch [34/100] | Batch [200/538] | Loss: 0.0141
Epoch [34/100] | Batch [300/538] | Loss: 0.0153
Epoch [34/100] | Batch [400/538] | Loss: 0.0123
Epoch [34/100] | Batch [500/538] | Loss: 0.0143
✅ Epoch 34 Complete | Avg Loss: 0.0143 | Time: 15.16 sec
Epoch [35/100] | Batch [100/538] | Loss: 0.0157
Epoch [35/100] | Batch [200/538] | Loss: 0.0127
Epoch [35/100] | Batch [300/538] | Loss: 0.0131
Epoch [35/100] | Batch [400/538] | Loss: 0.0131
Epoch [35/100] | Batch [500/538] | Loss: 0.0169
✅ Epoch 35 Complete | Avg Loss: 0.0138 | Time: 14.53 sec
Epoch [36/100] | Batch [100/538] | Loss: 0.0117
Epoch [36/100] | Batch [200/538] | Loss: 0.0142
Epoch [36/100] | Batch [300/538] | Loss: 0.0180
Epoch [36/100] | Batch [400/538] | Loss: 0.0132
Epoch [36/100] | Batch [500/538] | Loss: 0.0129
✅ Epoch 36 Complete | Avg Loss: 0.0137 | Time: 14.76 sec
Epoch [37/100] | Batch [100/538] | Loss: 0.0176
Epoch [37/100] | Batch [200/538] | Loss: 0.0145
Epoch [37/100] | Batch [300/538] | Loss: 0.0130
Epoch [37/100] | Batch [400/538] | Loss: 0.0126
Epoch [37/100] | Batch [500/538] | Loss: 0.0149
✅ Epoch 37 Complete | Avg Loss: 0.0136 | Time: 14.76 sec
Epoch [38/100] | Batch [100/538] | Loss: 0.0104
Epoch [38/100] | Batch [200/538] | Loss: 0.0113
Epoch [38/100] | Batch [300/538] | Loss: 0.0122
Epoch [38/100] | Batch [400/538] | Loss: 0.0139
Epoch [38/100] | Batch [500/538] | Loss: 0.0126
✅ Epoch 38 Complete | Avg Loss: 0.0132 | Time: 14.79 sec
