(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\models\build_tag_w2v.py
🚀 Loading Mappings and Metadata...
🧠 Preparing Corpus for Word2Vec...
🏋️‍♂️ Training Word2Vec Model (128 Dimensions)...
💉 Mapping Word2Vec representations to SASRec Token IDs...
✅ Pre-trained vectors mapped for 22884 out of 22884 items.
💾 Word2Vec Matrix saved to data/processed\w2v_embeddings.npy

(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\train_w2v.py
🚀 Training Word2Vec-Hybrid SASRec on: cuda
🚀 INJECTION: Loading pre-trained Word2Vec embeddings into SASRec!
✅ Epoch 54 Complete | Avg Loss: 0.2113 | Time: 14.33 sec
Epoch [55/100] | Batch [250/538] | Loss: 0.2017
Epoch [55/100] | Batch [500/538] | Loss: 0.2142
✅ Epoch 55 Complete | Avg Loss: 0.2114 | Time: 14.23 sec
Epoch [56/100] | Batch [250/538] | Loss: 0.1996
Epoch [56/100] | Batch [500/538] | Loss: 0.2147
✅ Epoch 56 Complete | Avg Loss: 0.2103 | Time: 14.55 sec
Epoch [57/100] | Batch [250/538] | Loss: 0.2094
Epoch [57/100] | Batch [500/538] | Loss: 0.2201
✅ Epoch 57 Complete | Avg Loss: 0.2100 | Time: 14.71 sec
Epoch [58/100] | Batch [250/538] | Loss: 0.2178
Epoch [58/100] | Batch [500/538] | Loss: 0.2102
✅ Epoch 58 Complete | Avg Loss: 0.2097 | Time: 14.33 sec
Epoch [59/100] | Batch [250/538] | Loss: 0.2084
Epoch [59/100] | Batch [500/538] | Loss: 0.2050
✅ Epoch 59 Complete | Avg Loss: 0.2098 | Time: 14.21 sec
Epoch [60/100] | Batch [250/538] | Loss: 0.2187
Epoch [60/100] | Batch [500/538] | Loss: 0.2074
✅ Epoch 60 Complete | Avg Loss: 0.2095 | Time: 14.59 sec
Epoch [61/100] | Batch [250/538] | Loss: 0.2221
Epoch [61/100] | Batch [500/538] | Loss: 0.2195
✅ Epoch 61 Complete | Avg Loss: 0.2089 | Time: 14.37 sec
Epoch [62/100] | Batch [250/538] | Loss: 0.2038
Epoch [62/100] | Batch [500/538] | Loss: 0.2018
✅ Epoch 62 Complete | Avg Loss: 0.2087 | Time: 14.02 sec
Epoch [63/100] | Batch [250/538] | Loss: 0.2333
Epoch [63/100] | Batch [500/538] | Loss: 0.2181
✅ Epoch 63 Complete | Avg Loss: 0.2079 | Time: 14.10 sec
Epoch [64/100] | Batch [250/538] | Loss: 0.2192
Epoch [64/100] | Batch [500/538] | Loss: 0.2130
